order_line_id,order_id,order_date_id,store_loc_id,fc_loc_id,product_id,qty_ordered,qty_allocated,is_stockout
41,ORD-004476,20250317,54,5,59,12,12,0
42,ORD-004641,20260923,39,3,24,8,8,0
43,ORD-009820,20240422,6,2,155,14,14,0
44,ORD-012521,20250607,24,3,62,1,1,0
45,ORD-007056,20241225,14,4,273,410,410,0
46,ORD-009155,20251226,10,4,442,429,9,1
47,ORD-007533,20240608,26,5,220,37,37,0
48,ORD-010489,20260505,24,1,208,2,2,0
49,ORD-002816,20260731,50,3,46,14,14,0
50,ORD-003987,20260611,43,4,269,90,90,0
51,ORD-005084,20251126,20,3,399,136,29,1
52,ORD-008694,20261110,18,3,180,47,47,0
53,ORD-010575,20241029,21,1,75,9,2,1
54,ORD-012456,20240603,17,4,238,49,49,0
55,ORD-009495,20260708,49,5,330,375,375,0
56,ORD-005296,20251009,15,4,35,16,16,0
57,ORD-004962,20250716,43,1,181,33,29,1
58,ORD-007405,20240318,9,3,426,196,23,1
59,ORD-010077,20261104,30,4,298,333,333,0
60,ORD-012107,20240325,34,5,334,146,146,0
61,ORD-007793,20261023,15,1,231,7,7,0
62,ORD-013720,20251204,51,1,259,380,126,1
63,ORD-011594,20260615,34,5,268,362,190,1
64,ORD-004635,20260304,32,3,348,356,323,1
65,ORD-010606,20251116,10,3,49,18,18,0
66,ORD-004656,20250531,52,5,448,126,126,0
67,ORD-009548,20241016,28,3,496,385,385,0
68,ORD-006422,20240921,44,1,159,36,36,0
69,ORD-012971,20251103,14,5,48,14,14,0
70,ORD-000299,20260112,25,2,487,159,159,0
71,ORD-012553,20260922,18,2,71,5,0,1
72,ORD-008318,20261214,8,3,449,442,442,0
73,ORD-009786,20260210,15,2,93,20,20,0
74,ORD-002713,20260615,8,4,187,44,44,0
75,ORD-007278,20250806,54,4,120,35,35,0
76,ORD-013249,20260818,18,3,348,342,342,0
77,ORD-007565,20250731,55,4,258,320,320,0
78,ORD-002656,20250212,44,2,447,178,123,1
79,ORD-014322,20260130,41,1,365,483,483,0
80,ORD-002043,20250806,11,2,140,29,29,0
81,ORD-002415,20260614,11,2,419,280,280,0
82,ORD-000437,20260429,9,4,258,241,241,0
83,ORD-001338,20260206,20,1,164,7,7,0
84,ORD-010649,20251117,15,2,20,10,10,0
85,ORD-007741,20241011,54,4,230,40,5,1
86,ORD-000312,20250608,19,2,281,422,422,0
87,ORD-006935,20240815,55,3,122,20,7,1
88,ORD-006879,20260725,10,1,429,305,305,0
89,ORD-000270,20261121,42,2,368,123,123,0
90,ORD-000026,20251223,21,5,214,12,12,0
91,ORD-001403,20261208,29,1,489,319,319,0
92,ORD-012885,20261105,41,1,200,31,12,1
93,ORD-006117,20250603,53,1,183,5,5,0
94,ORD-012009,20240731,55,5,377,437,437,0
95,ORD-000727,20251222,40,3,417,379,350,1
96,ORD-007613,20260907,46,2,416,119,99,1
97,ORD-007499,20240316,24,2,23,7,7,0
98,ORD-005171,20250927,38,4,418,328,328,0
99,ORD-000600,20250126,24,3,442,449,335,1
100,ORD-005439,20250713,13,3,224,26,26,0
101,ORD-014658,20260302,27,2,255,404,404,0
102,ORD-013063,20261129,23,1,373,267,92,1
103,ORD-008938,20250824,26,1,41,11,11,0
104,ORD-005022,20260702,44,4,86,15,15,0
105,ORD-000694,20251223,45,4,141,41,41,0
106,ORD-000940,20240602,48,4,187,33,33,0
107,ORD-011132,20241123,7,2,435,361,361,0
108,ORD-007180,20240312,14,1,121,50,50,0
109,ORD-005934,20260223,42,1,310,128,128,0
110,ORD-006078,20260131,34,1,294,120,120,0
111,ORD-006522,20251005,47,3,128,8,2,1
112,ORD-008177,20261126,30,5,61,9,9,0
113,ORD-011535,20260702,19,5,147,45,45,0
114,ORD-008048,20250213,13,2,437,87,87,0
115,ORD-014724,20260630,11,3,342,227,227,0
116,ORD-009012,20250817,25,2,365,413,413,0
117,ORD-010449,20241222,29,5,115,8,8,0
118,ORD-012978,20241011,21,4,14,12,12,0
119,ORD-006045,20260815,41,2,314,94,50,1
120,ORD-011747,20260907,39,4,394,259,259,0
121,ORD-001209,20240913,26,1,231,30,30,0
122,ORD-005645,20240919,55,5,328,350,66,1
123,ORD-007089,20261026,9,1,266,128,128,0
124,ORD-002654,20251022,51,2,178,34,34,0
125,ORD-013860,20240610,22,2,326,332,332,0
126,ORD-010241,20250912,45,5,48,17,17,0
127,ORD-009697,20241111,16,5,369,359,359,0
128,ORD-009235,20240325,7,1,24,19,19,0
129,ORD-003454,20260503,45,1,255,371,371,0
130,ORD-010518,20250910,36,2,413,463,463,0
131,ORD-004874,20260717,10,1,81,15,15,0
132,ORD-007610,20250221,27,5,74,11,11,0
133,ORD-005232,20251208,31,2,390,239,239,0
134,ORD-001740,20251015,21,4,63,9,9,0
135,ORD-002309,20240717,9,3,485,246,246,0
136,ORD-006851,20250523,16,3,479,345,345,0
137,ORD-003111,20241122,37,5,240,32,32,0
138,ORD-008149,20240217,11,4,259,284,284,0
139,ORD-003525,20251223,9,1,145,32,32,0
140,ORD-013810,20260821,24,5,5,4,4,0
141,ORD-014459,20250625,52,3,392,256,256,0
142,ORD-006564,20240414,42,5,100,12,12,0
143,ORD-001205,20260302,38,4,392,331,331,0
144,ORD-010212,20240831,14,1,202,24,24,0
145,ORD-005556,20260118,54,2,102,39,39,0
146,ORD-008194,20240323,8,1,71,11,11,0
147,ORD-008509,20260724,15,5,458,313,163,1
148,ORD-002663,20260315,45,3,304,222,222,0
149,ORD-008352,20261226,37,5,154,31,31,0
150,ORD-006036,20251109,49,1,214,38,38,0
151,ORD-014726,20240224,44,4,136,42,42,0
152,ORD-012717,20250411,52,1,299,295,194,1
153,ORD-002422,20250511,8,5,486,408,9,1
154,ORD-007226,20251004,32,2,212,45,45,0
155,ORD-008222,20260823,53,1,362,120,120,0
156,ORD-009190,20251027,48,4,270,242,242,0
157,ORD-002838,20260730,40,3,280,231,231,0
158,ORD-014216,20250625,45,4,99,8,8,0
159,ORD-004891,20250405,25,3,361,156,156,0
160,ORD-008012,20251011,36,3,287,457,457,0
161,ORD-004716,20240906,42,5,195,26,26,0
162,ORD-012666,20241026,24,1,148,46,28,1
163,ORD-010748,20250609,53,4,110,13,13,0
164,ORD-004443,20250710,14,1,316,429,429,0
165,ORD-003973,20240413,48,5,116,41,41,0
166,ORD-001642,20260426,27,4,52,5,4,1
167,ORD-002588,20260413,47,4,245,42,18,1
168,ORD-005263,20250807,47,1,465,443,293,1
169,ORD-003805,20261231,53,1,468,139,139,0
170,ORD-013724,20241226,8,4,404,303,148,1
171,ORD-014365,20240317,6,3,291,358,171,1
172,ORD-004663,20260719,47,5,269,302,302,0
173,ORD-002199,20261029,35,3,99,4,4,0
174,ORD-011979,20260728,47,3,368,145,86,1
175,ORD-012956,20250827,42,2,90,20,20,0
176,ORD-014698,20260410,33,5,168,6,6,0
177,ORD-001563,20250113,14,4,166,16,12,1
178,ORD-003859,20260703,54,3,489,218,218,0
179,ORD-011844,20240124,22,3,355,170,30,1
180,ORD-007626,20250920,16,4,352,307,307,0
181,ORD-014546,20250928,50,1,328,201,201,0
182,ORD-003619,20250324,14,4,79,15,15,0
183,ORD-009925,20260204,32,5,468,291,291,0
184,ORD-013140,20250323,54,2,349,436,436,0
185,ORD-012901,20240616,39,4,271,410,410,0
186,ORD-009244,20240817,9,5,463,308,308,0
187,ORD-008793,20241102,16,3,438,316,316,0
188,ORD-011146,20250224,51,5,251,96,96,0
189,ORD-007299,20240423,35,2,263,262,262,0
190,ORD-000946,20260804,49,3,371,61,61,0
191,ORD-013377,20240107,53,2,297,87,44,1
192,ORD-011476,20240510,40,1,479,85,85,0
193,ORD-007735,20240305,24,4,93,5,5,0
194,ORD-011949,20260510,29,4,230,25,25,0
195,ORD-011186,20240929,47,3,61,6,6,0
196,ORD-006440,20261219,14,2,428,51,51,0
197,ORD-004889,20260806,49,5,218,35,35,0
198,ORD-003763,20250521,35,3,80,9,1,1
199,ORD-000528,20260508,45,1,124,14,9,1
200,ORD-000551,20260703,44,1,126,48,28,1
201,ORD-003840,20250320,54,1,72,17,17,0
202,ORD-003837,20251015,42,5,396,394,394,0
203,ORD-003882,20250910,15,5,114,27,27,0
204,ORD-000999,20241224,46,4,285,303,176,1
205,ORD-010541,20260219,39,3,357,263,263,0
206,ORD-004914,20260209,17,5,243,16,16,0
207,ORD-004928,20241022,35,1,288,261,261,0
208,ORD-009131,20261221,14,4,125,17,17,0
209,ORD-010596,20240610,34,3,48,18,18,0
210,ORD-003121,20240415,23,4,345,359,359,0
211,ORD-014314,20240529,18,5,371,393,393,0
212,ORD-007855,20250303,27,3,490,57,57,0
213,ORD-003114,20240828,53,4,469,174,174,0
214,ORD-011531,20250222,31,2,283,214,214,0
215,ORD-006237,20260812,40,3,158,17,17,0
216,ORD-014464,20261015,35,1,412,419,419,0
217,ORD-013759,20251017,19,3,161,27,7,1
218,ORD-012145,20241025,7,3,284,349,349,0
219,ORD-006842,20250827,15,2,169,15,15,0
220,ORD-013654,20250518,37,5,336,400,400,0
221,ORD-012507,20260927,52,4,236,11,11,0
222,ORD-005771,20241212,14,5,251,144,144,0
223,ORD-008883,20240430,39,1,430,483,418,1
224,ORD-010949,20240409,54,1,212,9,9,0
225,ORD-003792,20240519,51,2,5,7,7,0
226,ORD-006115,20240503,45,5,468,297,297,0
227,ORD-000258,20240114,40,5,211,1,0,1
228,ORD-008778,20250810,7,5,417,407,407,0
229,ORD-013209,20250102,12,1,269,126,126,0
230,ORD-010155,20261214,22,3,137,26,12,1
231,ORD-007521,20250513,50,2,154,44,44,0
232,ORD-001321,20240305,11,4,195,25,25,0
233,ORD-000920,20240120,50,2,43,16,16,0
234,ORD-010567,20251109,42,1,459,320,320,0
235,ORD-003765,20250308,50,5,244,18,2,1
236,ORD-011214,20250728,40,5,337,66,40,1
237,ORD-000257,20250228,43,2,386,470,470,0
238,ORD-006526,20240606,25,2,289,173,173,0
239,ORD-013918,20260307,49,5,170,25,25,0
240,ORD-002293,20240609,38,3,28,4,4,0
241,ORD-013741,20240604,27,5,394,364,364,0
242,ORD-006500,20251030,7,3,402,280,280,0
243,ORD-005830,20260207,33,2,349,349,349,0
244,ORD-001405,20250827,21,1,43,9,2,1
245,ORD-012119,20260308,26,3,55,3,1,1
246,ORD-007287,20260107,54,3,53,5,3,1
247,ORD-007354,20261115,32,1,14,3,3,0
248,ORD-001525,20251026,30,1,150,27,27,0
249,ORD-001388,20250512,42,5,87,13,4,1
250,ORD-004934,20250703,37,2,33,6,6,0
251,ORD-006900,20250905,36,1,185,17,17,0
252,ORD-011812,20261012,44,5,101,30,9,1
253,ORD-000111,20260321,27,5,195,22,22,0
254,ORD-007056,20241005,25,3,309,405,405,0
255,ORD-005148,20241229,31,3,150,48,48,0
256,ORD-008045,20250511,26,4,144,26,26,0
257,ORD-009239,20250213,43,5,93,18,14,1
258,ORD-011606,20250305,34,3,426,404,209,1
259,ORD-011027,20261019,14,3,124,17,17,0
260,ORD-011719,20260516,30,1,230,39,39,0
261,ORD-006567,20261230,38,4,279,68,68,0
262,ORD-005891,20240623,12,2,337,390,390,0
263,ORD-010601,20240331,42,4,496,435,435,0
264,ORD-013046,20260531,12,1,51,9,9,0
265,ORD-012237,20261128,41,5,353,344,344,0
266,ORD-006130,20260312,35,5,354,306,12,1
267,ORD-007910,20240802,24,4,472,93,18,1
268,ORD-005708,20250930,27,4,402,155,155,0
269,ORD-005707,20260902,12,4,370,406,406,0
270,ORD-001101,20250906,8,1,12,11,11,0
271,ORD-011095,20241202,53,2,265,139,139,0
272,ORD-005423,20260523,35,2,409,257,257,0
273,ORD-003054,20260604,31,1,378,364,364,0
274,ORD-007366,20260529,30,1,361,159,159,0
275,ORD-012327,20240508,42,1,410,496,496,0
276,ORD-005994,20251029,18,4,59,9,9,0
277,ORD-008020,20261216,46,3,306,248,248,0
278,ORD-009618,20240821,28,3,433,284,284,0
279,ORD-013333,20250901,45,5,44,5,5,0
280,ORD-003909,20250917,13,2,192,45,24,1
281,ORD-006853,20241009,42,4,217,12,12,0
282,ORD-008805,20241220,41,2,251,197,80,1
283,ORD-013796,20260712,45,1,444,233,233,0
284,ORD-007940,20241006,18,4,494,337,337,0
285,ORD-008110,20260417,49,4,213,46,46,0
286,ORD-008007,20241208,11,5,16,8,8,0
287,ORD-004504,20250405,40,3,87,15,15,0
288,ORD-012658,20261011,41,5,58,19,17,1
289,ORD-013489,20260121,40,1,390,418,418,0
290,ORD-003581,20260520,12,2,153,3,3,0
291,ORD-005712,20240627,34,1,398,465,465,0
292,ORD-013283,20251219,51,5,324,269,71,1
293,ORD-012859,20250227,19,1,292,229,229,0
294,ORD-009779,20241210,26,3,149,37,37,0
295,ORD-014058,20261119,49,1,70,14,14,0
296,ORD-004544,20240916,50,2,128,10,10,0
297,ORD-013574,20250521,54,4,251,122,122,0
298,ORD-004403,20260428,30,4,39,3,3,0
299,ORD-012285,20250723,50,3,233,32,32,0
300,ORD-000041,20240709,52,4,326,390,390,0
301,ORD-013929,20240509,40,4,112,28,28,0
302,ORD-008106,20250703,26,3,173,36,36,0
303,ORD-009276,20260920,27,1,24,4,4,0
304,ORD-013709,20260730,7,1,476,489,233,1
305,ORD-000012,20260526,18,2,452,382,382,0
306,ORD-014327,20250715,11,3,129,6,6,0
307,ORD-014808,20241204,9,4,321,206,206,0
308,ORD-012374,20250424,33,1,361,98,61,1
309,ORD-001277,20240928,43,2,266,398,398,0
310,ORD-000133,20251204,13,4,356,117,117,0
311,ORD-003752,20260223,11,1,53,11,11,0
312,ORD-004903,20241007,30,2,329,396,271,1
313,ORD-009229,20240118,45,2,226,23,23,0
314,ORD-010291,20241106,32,5,352,276,276,0
315,ORD-001421,20240724,14,1,302,423,423,0
316,ORD-007036,20251006,14,2,142,42,35,1
317,ORD-009847,20250806,55,1,435,483,483,0
318,ORD-004943,20250224,39,5,261,146,146,0
319,ORD-004843,20240421,21,4,198,8,8,0
320,ORD-010455,20240525,39,1,185,21,18,1
321,ORD-006896,20260118,40,2,391,291,291,0
322,ORD-012622,20240529,7,5,35,1,1,0
323,ORD-000653,20240503,31,5,147,41,41,0
324,ORD-012569,20260430,33,4,43,18,18,0
325,ORD-002502,20250722,11,3,41,17,17,0
326,ORD-013240,20241114,40,3,201,38,38,0
327,ORD-013673,20240515,25,4,374,483,483,0
328,ORD-004006,20240625,33,1,233,40,40,0
329,ORD-005068,20241225,13,1,363,120,120,0
330,ORD-002685,20261013,28,5,265,450,450,0
331,ORD-004248,20241207,29,2,384,449,449,0
332,ORD-012009,20240829,55,1,172,28,28,0
333,ORD-001047,20250622,51,5,322,89,89,0
334,ORD-008369,20260107,9,4,440,340,80,1
335,ORD-004180,20240729,42,1,117,48,48,0
336,ORD-000722,20240126,21,1,242,24,24,0
337,ORD-002459,20250101,8,5,412,415,415,0
338,ORD-006871,20250404,26,2,214,47,47,0
339,ORD-013534,20240608,42,3,62,17,17,0
340,ORD-000863,20250102,20,5,24,13,7,1
341,ORD-014190,20250801,55,3,168,6,6,0
342,ORD-000131,20260125,18,3,289,451,451,0
343,ORD-010203,20250511,35,3,303,302,302,0
344,ORD-012713,20250204,52,5,390,457,457,0
345,ORD-000105,20260419,7,2,278,227,227,0
346,ORD-011362,20240120,27,1,389,386,386,0
347,ORD-012093,20250921,12,2,272,171,171,0
348,ORD-000982,20241018,51,3,48,2,2,0
349,ORD-014702,20261130,32,3,235,48,6,1
350,ORD-008281,20240930,46,4,39,19,19,0
351,ORD-007127,20240924,21,3,134,21,21,0
352,ORD-006439,20251030,26,4,140,15,3,1
353,ORD-002231,20240811,15,1,85,15,15,0
354,ORD-006661,20240904,40,3,494,444,444,0
355,ORD-005052,20260806,22,1,47,6,6,0
356,ORD-004985,20240323,19,3,76,3,3,0
357,ORD-005829,20260322,38,1,347,203,203,0
358,ORD-002849,20240304,31,4,285,433,433,0
359,ORD-001552,20260804,12,2,63,1,0,1
360,ORD-002142,20250209,31,3,352,372,372,0
361,ORD-001377,20250614,10,1,34,7,7,0
362,ORD-007266,20240920,11,3,63,2,2,0
363,ORD-000830,20241210,42,4,421,420,420,0
364,ORD-000484,20260222,49,4,89,12,12,0
365,ORD-003067,20250717,23,4,453,126,79,1
366,ORD-010109,20250518,47,3,256,260,260,0
367,ORD-007849,20240504,11,3,197,9,9,0
368,ORD-010530,20261212,21,5,407,59,59,0
369,ORD-012811,20260105,36,5,401,298,298,0
370,ORD-009268,20261025,26,4,139,12,9,1
371,ORD-003589,20240301,55,3,30,16,16,0
372,ORD-012564,20250421,16,1,127,43,43,0
373,ORD-008744,20240424,54,2,295,483,483,0
374,ORD-006364,20251227,17,2,122,38,38,0
375,ORD-012094,20260104,43,1,361,408,408,0
376,ORD-009301,20241018,42,2,429,464,464,0
377,ORD-008065,20250924,17,4,20,3,2,1
378,ORD-003585,20240210,39,4,1,11,11,0
379,ORD-003301,20240924,27,2,471,460,460,0
380,ORD-005302,20240501,7,2,301,410,410,0
381,ORD-012688,20240815,39,3,492,87,87,0
382,ORD-010849,20260321,43,1,173,20,20,0
383,ORD-002581,20260613,46,4,333,212,143,1
384,ORD-011364,20251231,20,5,418,139,139,0
385,ORD-012026,20250826,14,2,374,50,50,0
386,ORD-009386,20260312,55,5,17,6,6,0
387,ORD-013252,20250328,46,5,54,16,2,1
388,ORD-003900,20251211,26,2,326,95,95,0
389,ORD-010978,20251118,34,1,136,14,14,0
390,ORD-001111,20251218,22,1,369,50,28,1
391,ORD-012003,20260509,16,4,253,243,243,0
392,ORD-006150,20240726,36,5,334,438,438,0
393,ORD-002665,20260713,10,1,151,2,2,0
394,ORD-001716,20240531,27,2,455,242,19,1
395,ORD-008963,20240709,27,5,315,297,297,0
396,ORD-007067,20241203,44,4,81,2,0,1
397,ORD-003113,20260418,50,5,370,423,423,0
398,ORD-010824,20250730,25,2,50,2,2,0
399,ORD-009006,20261002,15,1,185,1,1,0
400,ORD-004826,20260910,18,1,14,7,2,1
401,ORD-001343,20260827,13,3,402,253,253,0
402,ORD-014662,20250626,11,5,199,12,12,0
403,ORD-006250,20260126,17,4,23,9,9,0
404,ORD-004316,20250408,23,5,32,5,5,0
405,ORD-010936,20240717,11,3,414,327,327,0
406,ORD-012394,20250410,41,1,431,248,248,0
407,ORD-006859,20260830,42,2,244,20,1,1
408,ORD-008227,20261124,42,5,76,4,4,0
409,ORD-007358,20241220,16,2,414,148,108,1
410,ORD-001284,20260610,18,2,428,354,354,0
411,ORD-014923,20240517,11,4,285,253,253,0
412,ORD-014035,20250719,39,4,470,497,358,1
413,ORD-010209,20261206,32,1,213,10,9,1
414,ORD-009547,20240724,12,5,400,101,101,0
415,ORD-014213,20251205,32,3,197,42,42,0
416,ORD-009978,20260826,8,2,142,26,19,1
417,ORD-011155,20260402,8,4,456,500,500,0
418,ORD-003893,20240410,53,4,472,187,187,0
419,ORD-000332,20251122,25,3,144,32,32,0
420,ORD-011221,20240720,20,2,154,48,48,0
421,ORD-013531,20251019,23,4,310,380,226,1
422,ORD-003464,20260413,53,4,389,314,314,0
423,ORD-013452,20240425,38,2,34,10,10,0
424,ORD-006610,20241004,55,5,451,341,98,1
425,ORD-014339,20250215,9,2,17,15,5,1
426,ORD-011545,20250211,23,3,422,287,287,0
427,ORD-010411,20240910,49,1,124,24,24,0
428,ORD-007309,20241229,36,5,283,229,229,0
429,ORD-013725,20250613,53,1,146,2,2,0
430,ORD-002670,20250314,20,2,347,155,155,0
431,ORD-006710,20261117,7,1,243,9,9,0
432,ORD-009850,20240118,20,3,312,462,462,0
433,ORD-011678,20250717,33,4,437,228,228,0
434,ORD-003576,20260813,25,5,423,369,369,0
435,ORD-001677,20240116,38,3,288,381,381,0
436,ORD-004632,20250903,49,1,247,5,5,0
437,ORD-004530,20251027,23,3,336,414,414,0
438,ORD-010674,20250903,18,2,265,441,441,0
439,ORD-000931,20260407,48,3,349,121,121,0
440,ORD-010739,20261015,24,3,465,264,264,0
441,ORD-012071,20240313,43,5,418,147,147,0
442,ORD-011688,20250331,49,5,327,451,451,0
443,ORD-011008,20260104,38,3,433,137,137,0
444,ORD-014361,20250105,24,1,242,9,9,0
445,ORD-011882,20250109,49,3,336,95,95,0
446,ORD-003660,20250920,32,3,191,17,17,0
447,ORD-007599,20240829,36,1,444,374,374,0
448,ORD-010169,20240525,36,2,257,111,111,0
449,ORD-006254,20261221,25,4,28,5,1,1
450,ORD-005615,20260418,42,4,74,11,11,0
451,ORD-002955,20240614,37,3,324,140,140,0
452,ORD-000951,20240110,34,3,108,49,49,0
453,ORD-009442,20241120,37,1,67,20,20,0
454,ORD-007036,20260406,33,4,197,1,0,1
455,ORD-011972,20260203,6,3,388,476,476,0
456,ORD-000294,20240109,46,2,116,45,45,0
457,ORD-005114,20240921,12,4,258,351,351,0
458,ORD-001070,20240403,25,3,234,47,47,0
459,ORD-008588,20251122,33,2,176,32,32,0
460,ORD-003088,20241203,31,1,117,15,15,0
461,ORD-002150,20250308,52,1,302,308,187,1
462,ORD-011651,20240317,30,3,395,323,323,0
463,ORD-009731,20240408,48,1,335,478,353,1
464,ORD-001898,20260503,34,4,64,18,18,0
465,ORD-011500,20241109,19,1,155,27,27,0
466,ORD-010855,20261201,23,5,311,408,53,1
467,ORD-008382,20240829,24,1,402,104,104,0
468,ORD-009978,20250213,55,3,426,317,317,0
469,ORD-005865,20260419,24,2,21,18,18,0
470,ORD-003403,20260911,27,2,2,1,1,0
471,ORD-014859,20240814,42,4,77,3,3,0
472,ORD-001230,20240726,22,2,234,19,19,0
473,ORD-000821,20240723,17,1,437,198,198,0
474,ORD-011089,20251002,33,1,49,2,0,1
475,ORD-010869,20241215,27,3,458,274,274,0
476,ORD-004396,20240709,29,3,94,4,4,0
477,ORD-007480,20250710,30,4,410,265,265,0
478,ORD-013057,20241207,13,2,357,421,81,1
479,ORD-001700,20260502,43,4,411,341,341,0
480,ORD-002970,20260216,55,3,314,64,64,0
481,ORD-014418,20240924,36,4,58,14,14,0
482,ORD-001038,20250619,47,3,7,17,17,0
483,ORD-009448,20250403,48,3,266,317,317,0
484,ORD-010130,20240714,33,2,247,23,23,0
485,ORD-010509,20260227,15,5,457,363,329,1
486,ORD-002572,20261101,36,4,446,134,125,1
487,ORD-005254,20250508,27,3,26,17,17,0
488,ORD-010541,20260214,31,2,41,15,15,0
489,ORD-009389,20260706,11,4,229,21,15,1
490,ORD-012210,20240206,12,4,212,3,3,0
491,ORD-000003,20240705,44,5,327,205,205,0
492,ORD-009214,20250227,47,4,487,224,224,0
493,ORD-000890,20250401,35,3,287,442,442,0
494,ORD-007752,20260114,51,4,59,4,4,0
495,ORD-003634,20240105,27,3,425,374,374,0
496,ORD-004784,20261205,29,1,24,6,6,0
497,ORD-013466,20260418,12,3,313,150,100,1
498,ORD-003533,20260725,18,3,56,14,10,1
499,ORD-013722,20240909,55,4,235,43,43,0
500,ORD-008261,20241002,37,1,272,426,221,1
501,ORD-013744,20260916,38,2,355,346,65,1
502,ORD-001697,20260304,48,5,311,214,214,0
503,ORD-006303,20260507,44,2,141,26,26,0
504,ORD-004820,20260716,14,2,212,39,39,0
505,ORD-012263,20261115,25,5,441,210,210,0
506,ORD-009070,20250321,18,2,320,415,415,0
507,ORD-005658,20240928,51,2,258,327,327,0
508,ORD-005282,20240824,54,3,288,295,295,0
509,ORD-010931,20260504,49,5,147,28,28,0
510,ORD-008565,20240806,7,4,75,2,2,0
511,ORD-003276,20250630,54,2,147,44,44,0
512,ORD-013753,20240507,50,3,105,49,49,0
513,ORD-005877,20260715,12,5,445,395,395,0
514,ORD-014170,20250404,53,5,200,16,16,0
515,ORD-013056,20250812,50,1,475,245,245,0
516,ORD-012913,20251002,41,1,7,9,9,0
517,ORD-014236,20260626,20,3,387,351,351,0
518,ORD-009886,20250206,55,2,151,29,21,1
519,ORD-001221,20250117,17,5,62,13,4,1
520,ORD-009120,20250625,14,2,300,483,483,0
521,ORD-005416,20260813,51,2,21,5,5,0
522,ORD-009780,20240414,55,5,432,388,388,0
523,ORD-012942,20260103,10,3,270,162,162,0
524,ORD-008530,20240519,38,2,213,35,35,0
525,ORD-001507,20251216,20,2,340,219,219,0
526,ORD-004810,20250323,54,5,272,293,293,0
527,ORD-013496,20240119,13,3,229,16,16,0
528,ORD-010055,20250514,8,3,196,8,8,0
529,ORD-008852,20250802,7,5,421,444,444,0
530,ORD-013154,20261107,34,4,23,10,10,0
531,ORD-003155,20251018,38,1,486,99,98,1
532,ORD-008815,20261228,6,1,108,43,43,0
533,ORD-003493,20260518,12,2,276,474,474,0
534,ORD-012147,20260610,47,1,383,401,235,1
535,ORD-011746,20251110,8,1,38,2,1,1
536,ORD-009144,20240524,42,2,467,182,182,0
537,ORD-007392,20260408,33,3,9,13,13,0
538,ORD-008763,20240113,47,5,33,19,2,1
539,ORD-005861,20261026,12,3,403,401,401,0
540,ORD-001418,20250730,54,4,196,26,26,0
541,ORD-000505,20260828,16,5,113,9,9,0
542,ORD-013055,20250827,46,2,153,44,44,0
543,ORD-013026,20260203,6,5,448,334,21,1
544,ORD-000083,20260318,40,5,485,93,93,0
545,ORD-012261,20251205,19,4,464,380,380,0
546,ORD-002334,20241125,17,2,316,477,477,0
547,ORD-001878,20250106,48,5,437,77,77,0
548,ORD-008993,20260802,47,5,38,10,10,0
549,ORD-004108,20240720,18,5,250,22,22,0
550,ORD-010999,20250425,12,3,318,85,85,0
551,ORD-005207,20260922,34,3,316,387,387,0
552,ORD-009572,20241108,42,5,187,21,21,0
553,ORD-002763,20240110,26,2,403,163,163,0
554,ORD-010500,20260612,23,3,69,11,11,0
555,ORD-007584,20260701,28,3,250,36,5,1
