shipment_line_id,order_line_id,ship_date_id,arrival_date_id,carrier_id,qty_shipped,qty_received,transport_cost,is_on_time,is_perfect_order
122,41076,20270101,20270103,2,8,8,306.67,1,1
123,41132,20240303,20240307,2,175,170,4678.99,1,0
124,12929,20251007,20251011,3,28,28,1216.53,1,1
125,30416,20240107,20240109,4,264,264,7749.33,1,1
126,516,20251003,20251005,2,9,9,255.81,1,1
127,47798,20260203,20260206,3,474,474,15640.52,1,1
128,5889,20240614,20240616,3,13,13,162.78,1,1
129,44304,20240624,20240628,1,18,18,163.54,1,1
130,4049,20240513,20240515,4,76,76,1733.19,1,1
131,202,20251016,20251020,3,394,394,6725.24,1,1
132,32924,20260803,20260804,3,20,20,939.83,0,0
133,45569,20250328,20250402,2,7,7,93.31,1,1
134,37525,20261228,20261229,2,81,81,2456.43,0,0
135,20859,20240723,20240728,2,4,4,15.58,1,1
136,6218,20260929,20261001,2,273,273,10306.86,0,0
137,30074,20250702,20250706,1,90,90,389.7,1,1
138,7008,20240929,20241003,3,18,18,280.17,1,1
139,24681,20250227,20250302,1,242,242,6389.15,1,1
140,41450,20250406,20250411,2,30,30,766.06,1,1
141,1410,20250317,20250318,4,160,160,7496.93,1,1
142,27991,20250130,20250203,3,416,414,8959.96,1,0
143,46692,20250513,20250514,3,13,13,115.33,1,1
144,6007,20260518,20260522,1,3,3,19.75,1,1
145,7808,20240209,20240212,4,247,247,9999.53,0,0
146,17034,20250211,20250215,1,15,12,365.03,1,0
147,36528,20260915,20260918,2,7,7,216.81,1,1
148,39035,20250618,20250622,1,129,125,4251.9,1,0
149,32267,20260720,20260723,3,402,401,16424.49,1,0
150,3495,20250928,20250929,2,9,9,75.87,1,1
151,44775,20240515,20240516,3,151,151,1275.28,1,1
152,37114,20250521,20250525,1,45,45,1527.9,1,1
153,18461,20250920,20250921,3,35,35,528.92,1,1
154,9471,20241223,20241228,3,48,48,756.1,1,1
155,49935,20240930,20241005,3,291,291,5122.31,1,1
156,38432,20250831,20250903,3,48,48,935.52,1,1
157,25081,20260426,20260428,2,32,32,1239.55,1,1
158,2908,20241028,20241030,2,277,277,7324.61,0,0
159,31195,20240306,20240308,1,1,1,49.32,1,1
160,43298,20250919,20250920,2,103,103,3084.34,1,1
161,8351,20240923,20240928,4,19,19,807.2,1,1
162,8426,20251129,20251201,2,474,474,2006.22,1,1
163,28732,20260114,20260116,3,4,4,20.71,1,1
164,29972,20250423,20250428,3,8,8,368.36,1,1
165,42847,20260922,20260924,3,188,188,3286.82,1,1
166,28245,20260803,20260804,2,441,441,1098.6,1,1
167,27003,20241213,20241214,1,14,14,488.2,0,0
168,15325,20250227,20250304,3,49,49,2132.86,1,1
169,34361,20240911,20240912,2,12,12,532.7,1,1
170,3233,20240524,20240527,1,228,228,1578.94,1,1
171,13807,20240711,20240714,2,241,239,10676.48,1,0
172,40738,20260203,20260206,4,411,411,6224.11,1,1
173,30408,20240318,20240319,1,2,2,7.04,1,1
174,31200,20240815,20240819,2,12,12,260.96,1,1
175,48574,20251225,20251228,3,1,1,14.88,1,1
176,26941,20241226,20241231,4,23,23,867.02,1,1
177,49372,20240707,20240709,3,283,283,4833.2,1,1
178,23223,20260112,20260113,2,35,33,1534.2,1,0
179,24765,20251023,20251025,4,299,299,7229.85,0,0
180,28149,20260717,20260718,4,25,20,600.33,1,0
181,653,20240703,20240707,4,27,27,755.14,1,1
182,2032,20260712,20260716,1,251,251,5679.04,1,1
183,22579,20261216,20261220,4,14,14,196.68,1,1
184,36674,20261101,20261106,1,19,18,506.68,1,0
185,32105,20240822,20240823,4,44,44,679.76,1,1
186,26568,20260103,20260105,2,50,50,1344.76,1,1
187,44219,20250112,20250116,1,12,12,583.95,1,1
188,10635,20251206,20251211,1,2,2,94.63,1,1
189,15275,20250214,20250215,4,4,0,113.01,1,0
190,5879,20240820,20240824,4,2,2,85.4,1,1
191,37243,20251209,20251210,2,81,81,2985.64,1,1
192,29515,20251029,20251031,1,23,23,547.08,0,0
193,30898,20261029,20261030,1,10,8,204.28,0,0
194,44585,20250620,20250625,3,41,41,569.56,1,1
195,43104,20251101,20251103,3,458,458,12283.75,1,1
196,39051,20261204,20261207,3,424,424,9160.99,1,1
197,10834,20260412,20260413,2,13,13,200.03,1,1
198,31141,20240728,20240802,2,10,10,393.59,0,0
199,37211,20241027,20241029,4,17,17,225.27,1,1
200,32853,20240717,20240719,3,8,8,279.93,1,1
201,39428,20261004,20261005,4,42,42,673.19,1,1
202,37622,20250220,20250222,1,280,280,7371.06,1,1
203,44754,20240209,20240211,3,1,1,33.69,1,1
204,21914,20260810,20260815,3,39,39,940.02,1,1
205,35598,20250802,20250803,1,1,1,24.1,1,1
206,43269,20240127,20240128,3,66,61,2481.78,1,0
207,45406,20241224,20241225,2,83,83,3399.13,1,1
208,17522,20240621,20240622,3,172,172,8287.2,1,1
209,17549,20260309,20260314,3,84,84,2250.35,1,1
210,1298,20260624,20260626,1,43,41,734.9,1,0
211,46766,20260329,20260403,4,83,83,3873.71,1,1
212,36458,20250302,20250307,2,142,142,5186.57,1,1
213,42549,20251015,20251017,2,494,494,21973.8,1,1
214,34890,20260402,20260403,1,3,3,32.38,1,1
215,45337,20260116,20260120,3,292,292,7806.92,1,1
216,22375,20260510,20260515,3,10,10,155.49,1,1
217,47227,20251115,20251116,2,75,75,2560.99,1,1
218,7367,20251002,20251006,3,11,11,36.95,1,1
219,3452,20240614,20240616,1,489,489,22848.55,1,1
220,41879,20260613,20260618,2,26,26,713.84,1,1
221,11649,20260618,20260620,4,159,159,570.26,1,1
222,30068,20240829,20240830,2,328,328,15343.89,1,1
223,7028,20260110,20260114,4,30,30,788.85,1,1
224,10393,20240518,20240520,4,126,126,3789.26,1,1
225,32263,20251112,20251116,1,152,152,1712.71,1,1
226,22345,20240913,20240915,3,102,102,4411.24,1,1
227,25854,20240926,20240929,3,43,43,1321.82,1,1
228,21705,20260409,20260413,2,70,70,1621.11,1,1
229,15983,20260315,20260317,4,108,108,1712.77,1,1
230,26192,20260425,20260427,2,410,410,7111.31,1,1
231,18348,20260530,20260602,3,181,181,1891.33,1,1
232,3824,20260522,20260527,3,90,90,1477.7,0,0
233,22902,20250301,20250303,3,4,4,43.62,1,1
234,44922,20240702,20240704,2,37,37,1129.83,1,1
235,46850,20251112,20251113,2,387,387,11696.08,1,1
236,24691,20240514,20240515,3,2,2,24.12,0,0
237,13140,20241116,20241119,2,18,18,461.72,1,1
238,46987,20240729,20240802,3,36,36,863.0,0,0
239,34597,20270101,20270106,2,65,65,738.59,0,0
240,31058,20260730,20260803,1,155,155,2368.02,1,1
241,40858,20261019,20261020,4,17,17,804.74,1,1
242,33577,20240803,20240804,1,6,6,215.46,1,1
243,27825,20260530,20260604,4,5,5,125.77,1,1
244,6319,20240324,20240329,3,21,21,387.07,1,1
245,1019,20251002,20251004,2,156,156,6358.09,1,1
246,41355,20240428,20240429,1,9,9,60.8,1,1
247,41025,20250911,20250913,2,380,380,14912.98,0,0
248,32035,20261010,20261015,1,287,287,2318.5,1,1
249,49169,20240209,20240211,4,119,119,5704.64,1,1
250,8672,20261117,20261121,2,374,374,16165.09,1,1
251,1665,20260919,20260920,2,315,315,11735.48,1,1
252,23206,20260421,20260424,4,45,45,2247.11,0,0
253,12075,20260724,20260729,4,31,31,303.85,1,1
254,39806,20260302,20260306,4,32,30,1169.62,1,0
255,44690,20250111,20250116,3,294,294,801.98,1,1
256,27186,20261119,20261121,4,8,4,17.63,1,0
257,35530,20240220,20240221,2,187,187,1944.98,1,1
258,11220,20240204,20240209,1,170,170,3353.18,1,1
259,36757,20251019,20251024,3,264,264,8483.61,1,1
260,34375,20261108,20261109,2,282,282,5068.99,1,1
261,4809,20260530,20260603,4,101,101,1670.87,1,1
262,48078,20260228,20260303,2,8,8,266.89,1,1
263,46175,20240109,20240112,4,6,6,241.85,0,0
264,6844,20260622,20260624,1,81,81,1712.24,1,1
265,25702,20260122,20260127,1,28,28,1134.73,1,1
266,14912,20250211,20250212,4,239,239,5543.86,1,1
267,48803,20241203,20241206,1,12,12,78.86,0,0
268,24918,20260607,20260608,4,186,186,3225.87,1,1
269,42487,20240916,20240919,4,31,29,333.71,0,0
270,8077,20241129,20241202,3,240,235,11874.27,1,0
271,46944,20250526,20250529,4,19,19,361.29,1,1
272,39107,20250716,20250718,1,11,9,422.69,0,0
273,22797,20250210,20250214,4,89,89,578.5,1,1
274,39005,20260306,20260311,3,173,173,3782.03,1,1
275,35892,20240919,20240922,4,10,8,269.66,1,0
276,25313,20250415,20250418,4,48,48,1013.77,1,1
277,18093,20260314,20260316,2,153,153,5697.59,1,1
278,27580,20261109,20261112,2,14,14,698.84,1,1
279,13241,20260721,20260722,2,139,139,1880.24,1,1
280,8402,20250801,20250803,2,227,227,9469.95,1,1
281,25083,20261123,20261126,1,48,48,642.66,1,1
282,7746,20261013,20261017,2,40,36,1456.38,1,0
283,33130,20240528,20240530,4,45,45,1596.99,1,1
284,33478,20241203,20241208,3,17,17,553.14,1,1
285,30198,20250505,20250510,2,60,60,470.69,1,1
286,4228,20240522,20240525,1,183,183,514.23,1,1
287,46001,20260614,20260616,3,49,49,834.91,0,0
288,10672,20250807,20250811,3,143,143,6639.15,1,1
289,22835,20261109,20261112,3,191,191,1098.66,1,1
290,21058,20251224,20251228,4,465,465,15871.63,0,0
291,37094,20241213,20241216,4,159,159,5327.96,1,1
292,46032,20250208,20250210,1,134,134,6314.43,0,0
293,42788,20240731,20240804,4,342,342,10441.21,1,1
294,21482,20250528,20250601,4,153,153,3490.8,0,0
295,47774,20250819,20250823,3,8,8,161.19,1,1
296,5,20251105,20251107,4,82,82,4004.54,1,1
297,45951,20250915,20250916,3,393,393,17318.07,1,1
298,27411,20240902,20240906,1,144,144,5093.05,0,0
299,24242,20250311,20250312,2,10,10,81.6,1,1
300,45923,20260907,20260912,3,391,387,11934.34,1,0
301,32010,20260801,20260805,4,95,95,4015.7,1,1
302,47059,20240924,20240925,4,350,350,4113.93,1,1
303,20252,20251103,20251106,4,469,469,12517.01,1,1
304,14393,20261122,20261125,3,267,262,11413.13,0,0
305,1736,20250408,20250411,4,31,31,1129.68,1,1
306,43682,20241102,20241103,1,307,307,12312.82,1,1
307,38012,20250814,20250819,3,22,21,951.93,1,0
308,44112,20240617,20240618,4,354,354,5904.58,1,1
309,34675,20250323,20250324,4,8,8,16.21,1,1
310,4173,20250926,20250930,1,30,30,1088.89,0,0
311,21672,20240227,20240302,4,103,99,2284.05,0,0
312,4929,20240517,20240520,3,493,493,8461.23,1,1
313,42587,20260703,20260705,2,308,308,7017.08,1,1
314,6120,20241214,20241219,4,8,8,254.05,1,1
315,31956,20240825,20240828,4,18,18,324.58,0,0
316,37721,20250417,20250421,3,10,10,340.16,1,1
317,44377,20240801,20240806,2,65,65,803.56,1,1
318,21857,20240628,20240701,2,26,23,563.92,1,0
319,27145,20240505,20240507,2,326,326,14080.85,0,0
320,32928,20250209,20250212,2,5,5,118.73,1,1
321,3771,20250924,20250929,1,282,282,8767.38,1,1
322,48439,20250116,20250121,3,33,33,699.41,1,1
323,2780,20260915,20260920,1,1,1,31.17,0,0
324,25428,20240522,20240525,3,3,3,6.01,1,1
325,30849,20240405,20240410,1,69,69,1695.92,1,1
326,13870,20241104,20241106,4,4,4,103.55,1,1
327,28734,20250106,20250111,4,445,441,5208.25,1,0
328,39748,20261218,20261223,4,11,8,108.9,1,0
329,23531,20250203,20250207,1,41,41,1931.81,0,0
330,15691,20250506,20250510,2,163,163,495.06,0,0
331,11049,20260530,20260531,1,6,4,61.05,1,0
332,13853,20240810,20240815,4,15,15,337.74,1,1
333,36488,20240211,20240214,2,86,86,4129.4,1,1
334,9786,20250913,20250914,3,231,231,9052.65,1,1
335,49825,20250320,20250324,4,3,3,64.99,1,1
336,14967,20240721,20240723,3,269,269,4702.91,1,1
337,28416,20260601,20260602,2,303,303,13926.44,1,1
338,9355,20240208,20240209,3,319,319,9368.26,1,1
339,40786,20250729,20250730,4,24,24,293.36,0,0
340,12030,20260129,20260202,1,122,122,1837.81,1,1
341,27525,20250203,20250204,4,363,363,4943.72,1,1
342,45895,20240227,20240228,1,41,41,1352.92,0,0
343,31103,20251124,20251126,3,17,17,183.85,1,1
344,36026,20250129,20250202,2,20,20,924.37,1,1
345,45277,20240115,20240117,1,2,0,45.82,1,0
346,9792,20241031,20241105,3,107,107,911.63,0,0
347,28485,20240718,20240721,4,461,461,17179.91,0,0
348,24693,20251126,20251127,3,484,484,14101.22,0,0
349,17918,20261128,20261130,1,160,160,5819.49,1,1
350,35146,20250628,20250630,3,128,128,2261.24,1,1
351,27990,20240211,20240214,1,495,495,18485.17,1,1
352,1140,20250518,20250521,2,17,17,487.33,1,1
353,1589,20261126,20261128,2,7,7,343.49,1,1
354,36479,20240725,20240730,2,27,24,751.57,1,0
355,45324,20240903,20240907,3,19,19,916.66,1,1
356,1849,20240221,20240222,2,24,24,157.06,1,1
357,42453,20250915,20250919,1,184,184,8526.34,0,0
358,40365,20260306,20260309,3,8,8,377.94,1,1
359,32324,20251024,20251028,4,31,31,1042.24,1,1
360,23941,20241208,20241212,3,253,253,2223.45,1,1
361,32396,20240307,20240310,4,133,133,6268.05,0,0
362,4002,20251024,20251025,2,178,178,6494.39,1,1
363,28845,20260912,20260915,2,348,348,12972.28,1,1
364,27697,20240501,20240506,1,35,35,805.5,1,1
365,45712,20240905,20240906,4,487,487,15441.26,1,1
366,32520,20241230,20250104,4,12,12,443.0,1,1
367,5847,20240313,20240314,4,446,446,8999.79,0,0
368,9489,20250527,20250528,4,427,427,7458.35,1,1
369,23671,20260129,20260203,2,65,65,1952.97,1,1
370,10063,20241019,20241021,3,10,10,192.47,1,1
371,25804,20240926,20241001,4,477,477,19390.72,1,1
372,15516,20240814,20240815,1,10,10,346.87,1,1
373,27166,20251212,20251215,4,332,332,2315.11,1,1
374,29017,20250117,20250120,4,119,119,2715.48,1,1
375,8295,20250909,20250913,1,208,208,7304.02,1,1
376,13222,20240116,20240120,1,10,10,352.79,1,1
377,22695,20260422,20260423,1,251,251,12280.7,1,1
378,20796,20250409,20250410,2,16,16,788.48,1,1
379,44893,20250119,20250120,3,62,62,533.61,1,1
380,38342,20250531,20250601,2,28,28,96.5,1,1
381,9871,20260616,20260617,3,260,260,12939.52,1,1
382,19293,20240503,20240508,4,442,442,21673.13,0,0
383,45900,20241018,20241023,1,8,3,178.86,0,0
384,33913,20240912,20240917,2,380,380,16311.49,1,1
385,23134,20250321,20250325,3,16,16,639.12,1,1
386,32612,20260719,20260720,2,43,43,630.41,1,1
387,21046,20240618,20240623,2,137,137,1956.14,0,0
388,637,20250213,20250214,3,382,378,5818.14,1,0
389,44237,20251225,20251226,1,380,380,14020.74,1,1
390,13725,20250927,20251001,3,404,404,5295.04,1,1
391,4093,20250305,20250306,2,399,399,7041.58,1,1
392,21783,20240420,20240424,4,404,404,14146.26,0,0
393,24670,20250214,20250219,3,13,13,433.84,1,1
394,18527,20260524,20260529,2,4,4,20.0,1,1
395,8384,20261129,20261201,2,26,26,204.12,1,1
396,16926,20241204,20241207,4,151,151,3114.23,1,1
397,17781,20241018,20241023,4,6,5,70.11,1,0
398,24935,20261224,20261229,2,16,16,317.02,1,1
399,6135,20241108,20241113,4,96,95,1968.06,1,0
400,6611,20260214,20260216,1,344,344,9745.44,1,1
401,8093,20241125,20241130,1,9,9,407.37,1,1
402,29596,20261117,20261120,2,15,11,297.57,1,0
403,29090,20250102,20250103,3,3,2,37.87,0,0
404,15202,20240528,20240531,4,8,8,79.94,1,1
405,36911,20250829,20250903,1,2,2,32.38,1,1
406,31610,20240827,20240828,2,24,24,179.56,1,1
407,4518,20241026,20241027,4,6,6,250.43,0,0
408,44799,20260123,20260128,4,4,4,23.41,1,1
409,42662,20241022,20241027,2,235,235,2992.18,0,0
410,3072,20240809,20240811,4,408,408,20131.03,1,1
411,17254,20240316,20240317,2,149,149,685.34,1,1
412,42977,20240703,20240707,3,22,22,636.19,1,1
413,14854,20241110,20241111,4,14,14,633.51,1,1
414,6354,20260510,20260512,4,12,12,504.43,1,1
415,49514,20240507,20240512,4,34,34,1601.83,1,1
416,43154,20260807,20260808,3,71,71,2620.77,1,1
417,42167,20250827,20250831,3,59,59,958.14,1,1
418,23225,20250309,20250312,2,435,435,2743.27,1,1
419,13883,20251206,20251211,3,26,26,141.26,1,1
420,19110,20251010,20251014,3,5,5,44.97,1,1
421,4738,20240205,20240209,2,128,128,6011.16,1,1
422,14472,20260807,20260809,4,3,3,86.36,1,1
423,24338,20270102,20270103,3,57,52,1393.24,1,0
424,26438,20250928,20251002,1,243,243,4071.6,0,0
425,32667,20240614,20240619,1,295,295,7516.69,1,1
426,20029,20250107,20250111,4,37,37,1793.62,1,1
427,44938,20240802,20240804,1,8,6,136.45,1,0
428,6015,20260420,20260424,1,427,427,13712.69,1,1
429,4221,20261009,20261012,4,206,206,3361.72,1,1
430,4691,20250828,20250901,3,417,417,10610.05,1,1
431,10733,20260127,20260201,4,489,484,8455.7,1,0
432,15740,20250905,20250908,1,4,4,93.54,1,1
433,3849,20241007,20241010,2,40,40,1508.99,1,1
434,27729,20241228,20250101,4,262,262,7251.52,1,1
435,11025,20260527,20260529,4,16,16,108.15,1,1
436,28650,20261021,20261026,1,8,8,288.87,1,1
437,29915,20260326,20260327,2,19,19,816.63,1,1
438,3216,20260112,20260113,4,87,87,3249.04,0,0
439,1764,20240128,20240202,4,388,383,10535.11,1,0
440,19846,20240628,20240629,2,7,7,308.6,1,1
441,13123,20260428,20260502,3,263,263,3509.75,1,1
442,44423,20240815,20240819,4,162,162,6714.89,1,1
443,47425,20240924,20240926,1,7,7,220.26,1,1
444,8443,20241204,20241205,3,3,3,84.98,1,1
445,30686,20250730,20250802,2,321,321,9326.35,1,1
446,18326,20240307,20240311,3,218,218,9035.39,1,1
447,9680,20240216,20240217,2,11,11,131.93,1,1
448,38187,20241123,20241125,2,12,12,301.81,1,1
449,41080,20251016,20251018,2,19,19,436.16,1,1
450,46963,20251209,20251211,3,150,150,1453.0,1,1
451,7317,20240113,20240118,1,35,35,590.27,1,1
452,16158,20240919,20240924,2,376,376,18411.04,1,1
453,47837,20240712,20240716,1,73,73,2683.1,1,1
454,28090,20260115,20260116,1,438,438,12170.21,1,1
455,42685,20261028,20261101,4,362,362,3008.45,1,1
456,30706,20241213,20241215,2,95,95,4121.61,1,1
457,16919,20250118,20250123,4,20,20,177.53,1,1
458,1838,20240129,20240131,3,203,203,718.71,1,1
459,24436,20260823,20260825,1,9,9,313.09,1,1
460,6318,20250413,20250418,4,18,18,531.88,1,1
461,11909,20260717,20260721,2,12,12,494.05,1,1
462,16597,20240402,20240404,2,254,254,8335.86,1,1
463,30627,20240219,20240224,2,451,449,4291.72,1,0
464,41333,20240612,20240615,2,385,385,15468.79,1,1
465,41417,20261121,20261122,1,12,12,210.68,1,1
466,3519,20251208,20251209,4,326,326,16171.32,0,0
467,33351,20260118,20260120,3,26,26,981.13,1,1
468,27444,20260528,20260530,4,332,329,3470.47,1,0
469,17422,20261028,20261101,4,230,230,10825.31,1,1
470,20877,20260610,20260611,1,271,271,1260.95,1,1
471,21266,20251212,20251217,3,69,69,2436.67,1,1
472,15827,20241021,20241024,2,423,423,5908.13,1,1
473,10888,20260330,20260403,2,104,104,975.88,1,1
474,22186,20240319,20240322,1,463,463,21100.77,1,1
475,15775,20250623,20250625,2,268,268,7763.3,1,1
476,1607,20250828,20250831,4,33,33,76.21,1,1
477,49431,20260107,20260112,3,8,8,357.94,1,1
478,33266,20260126,20260130,2,95,95,2161.95,1,1
479,39331,20250109,20250110,1,150,145,7484.37,1,0
480,22297,20240529,20240603,3,362,362,10268.99,0,0
481,46291,20260130,20260204,1,368,368,4073.42,1,1
482,27754,20260215,20260217,2,2,2,12.65,1,1
483,37371,20240422,20240423,4,272,272,13566.23,0,0
484,31352,20261218,20261220,1,16,16,244.37,1,1
485,8830,20261028,20261101,1,41,41,380.5,1,1
486,6521,20250317,20250318,1,2,2,19.5,1,1
487,5123,20240923,20240926,2,138,138,2441.86,1,1
488,45586,20261009,20261010,3,119,119,3470.32,1,1
489,6153,20260625,20260628,4,72,72,1383.69,1,1
490,47269,20240402,20240406,4,11,11,514.53,0,0
491,10947,20250929,20251003,3,391,391,8835.61,0,0
492,4196,20250106,20250107,2,408,408,9970.92,1,1
493,38520,20261222,20261224,2,24,24,1022.38,1,1
494,5221,20251026,20251029,3,213,210,3677.4,1,0
495,35780,20240828,20240902,1,7,7,51.61,1,1
496,48298,20240925,20240928,4,26,26,583.98,1,1
497,18688,20250318,20250323,3,16,13,756.86,1,0
498,13252,20240525,20240526,1,33,33,515.74,1,1
499,31265,20250701,20250704,1,4,1,132.37,1,0
500,23064,20241213,20241217,4,37,37,1125.8,1,1
501,10903,20241020,20241023,1,19,19,329.82,0,0
502,39738,20240619,20240624,4,28,28,84.4,0,0
503,36866,20250924,20250927,2,174,174,5376.1,1,1
504,36846,20240625,20240630,3,111,110,4525.63,1,0
