reporting_month,store_region,store_name,fc_name,fill_rate_pct,stockout_rate_pct,on_time_delivery_pct,inventory_turnover,avg_lead_time_days,transport_cost_per_unit,perfect_order_pct,days_inventory_on_hand
2024-01,Eastern,Staples Store Mississauga #27,Richmond Hill FC,100.0,0.0,100.0,2.41,4.0,34.95,100.0,12.5
2024-01,Eastern,Staples Store Mississauga #27,Calgary FC,84.41,33.33,50.0,0.71,4.0,26.68,50.0,42.1
2024-01,Eastern,Staples Store Mississauga #27,Montreal FC,71.76,40.0,66.67,1.45,4.67,28.04,66.67,20.6
2024-01,Eastern,Staples Store Mississauga #28,Toronto FC,81.75,20.0,100.0,0.21,6.0,18.05,100.0,141.3
2024-01,Eastern,Staples Store Mississauga #28,Mississauga FC,83.92,50.0,100.0,2.06,5.17,24.18,100.0,14.5
2024-01,Eastern,Staples Store Mississauga #28,Richmond Hill FC,100.0,0.0,50.0,0.93,6.0,19.27,0.0,32.3
2024-01,Eastern,Staples Store Mississauga #28,Calgary FC,64.24,50.0,75.0,3.14,5.0,30.99,50.0,9.6
2024-01,Eastern,Staples Store Mississauga #28,Montreal FC,100.0,0.0,0.0,0.02,5.0,45.5,0.0,1464.7
2024-01,Eastern,Staples Store Mississauga #29,Toronto FC,100.0,0.0,100.0,1.99,4.5,32.86,50.0,15.1
2024-01,Eastern,Staples Store Mississauga #29,Mississauga FC,90.03,16.67,90.91,4.09,5.0,20.79,90.91,7.3
2024-01,Eastern,Staples Store Mississauga #29,Richmond Hill FC,92.26,25.0,75.0,3.57,3.75,27.04,75.0,8.4
2024-01,Eastern,Staples Store Mississauga #29,Calgary FC,100.0,0.0,100.0,1.56,4.0,12.12,100.0,19.2
2024-01,Eastern,Staples Store Mississauga #29,Montreal FC,90.56,16.67,80.0,3.12,6.8,21.52,80.0,9.6
2024-01,Eastern,Staples Store Mississauga #30,Toronto FC,90.95,50.0,100.0,1.54,6.0,8.21,50.0,19.4
2024-01,Eastern,Staples Store Mississauga #30,Mississauga FC,100.0,0.0,100.0,0.73,3.0,18.11,100.0,40.9
2024-01,Eastern,Staples Store Mississauga #30,Richmond Hill FC,100.0,0.0,75.0,1.61,5.25,41.74,75.0,18.6
2024-01,Eastern,Staples Store Mississauga #30,Calgary FC,98.34,14.29,100.0,5.96,4.86,17.25,100.0,5.0
2024-01,Eastern,Staples Store Mississauga #30,Montreal FC,100.0,0.0,100.0,2.57,4.2,18.97,100.0,11.7
2024-01,Eastern,Staples Store Montreal #51,Toronto FC,75.24,25.0,50.0,2.78,4.5,29.24,50.0,10.8
2024-01,Eastern,Staples Store Montreal #51,Mississauga FC,100.0,0.0,100.0,2.76,3.33,21.15,100.0,10.9
2024-01,Eastern,Staples Store Montreal #51,Richmond Hill FC,100.0,0.0,100.0,0.08,8.0,11.82,100.0,386.2
2024-01,Eastern,Staples Store Montreal #51,Calgary FC,100.0,0.0,100.0,2.72,4.75,22.16,100.0,11.0
2024-01,Eastern,Staples Store Montreal #51,Montreal FC,82.84,33.33,100.0,2.58,5.33,22.64,66.67,11.6
2024-01,Eastern,Staples Store Montreal #52,Toronto FC,100.0,0.0,100.0,0.63,4.0,47.5,100.0,48.0
2024-01,Eastern,Staples Store Montreal #52,Mississauga FC,93.33,16.67,100.0,2.05,5.0,41.01,83.33,14.7
2024-01,Eastern,Staples Store Montreal #52,Richmond Hill FC,50.0,50.0,100.0,1.57,3.0,2.94,100.0,19.1
2024-01,Eastern,Staples Store Montreal #52,Calgary FC,100.0,0.0,80.0,4.26,5.2,19.34,80.0,7.0
2024-01,Eastern,Staples Store Montreal #52,Montreal FC,98.61,12.5,80.0,1.45,4.0,42.96,80.0,20.7
2024-01,Eastern,Staples Store Montreal #53,Toronto FC,94.82,12.5,83.33,4.64,5.33,34.2,83.33,6.5
2024-01,Eastern,Staples Store Montreal #53,Mississauga FC,92.94,14.29,83.33,4.16,4.5,21.69,50.0,7.2
2024-01,Eastern,Staples Store Montreal #53,Richmond Hill FC,90.0,33.33,87.5,2.61,5.0,32.22,62.5,11.5
2024-01,Eastern,Staples Store Montreal #53,Calgary FC,93.95,66.67,100.0,1.48,5.5,41.02,50.0,20.3
2024-01,Eastern,Staples Store Montreal #53,Montreal FC,93.27,16.67,100.0,3.49,4.4,19.02,80.0,8.6
2024-01,Eastern,Staples Store Montreal #54,Toronto FC,79.64,37.5,87.5,3.23,5.38,27.86,75.0,9.3
2024-01,Eastern,Staples Store Montreal #54,Mississauga FC,99.5,33.33,100.0,1.72,5.67,44.86,66.67,17.5
2024-01,Eastern,Staples Store Montreal #54,Richmond Hill FC,100.0,0.0,100.0,1.01,7.0,8.57,100.0,29.8
2024-01,Eastern,Staples Store Montreal #54,Calgary FC,76.82,25.0,100.0,4.17,4.75,30.81,100.0,7.2
2024-01,Eastern,Staples Store Montreal #54,Montreal FC,98.52,11.11,100.0,3.47,4.75,12.5,100.0,8.6
2024-01,Eastern,Staples Store Montreal #55,Toronto FC,85.71,14.29,60.0,2.32,4.8,15.37,40.0,12.9
2024-01,Eastern,Staples Store Montreal #55,Mississauga FC,100.0,0.0,66.67,1.78,5.33,19.17,50.0,16.8
2024-01,Eastern,Staples Store Montreal #55,Richmond Hill FC,82.57,20.0,100.0,2.26,4.5,29.51,100.0,13.3
2024-01,Eastern,Staples Store Montreal #55,Calgary FC,74.66,40.0,100.0,2.28,5.5,19.01,100.0,13.2
2024-01,Eastern,Staples Store Montreal #55,Montreal FC,80.43,20.0,80.0,1.93,6.8,34.07,60.0,15.5
2024-01,Eastern,Staples Store Ottawa #31,Toronto FC,88.32,40.0,80.0,5.7,5.6,18.34,80.0,5.3
2024-01,Eastern,Staples Store Ottawa #31,Mississauga FC,100.0,0.0,83.33,3.14,5.0,40.0,83.33,9.6
2024-01,Eastern,Staples Store Ottawa #31,Richmond Hill FC,90.0,20.0,80.0,1.87,6.6,25.98,80.0,16.0
2024-01,Eastern,Staples Store Ottawa #31,Calgary FC,87.44,50.0,80.0,6.29,3.4,27.56,80.0,4.8
2024-01,Eastern,Staples Store Ottawa #31,Montreal FC,100.0,0.0,100.0,0.04,5.0,17.66,100.0,732.3
2024-01,Eastern,Staples Store Ottawa #32,Toronto FC,100.0,0.0,100.0,2.25,6.0,29.12,100.0,13.3
2024-01,Eastern,Staples Store Ottawa #32,Mississauga FC,85.71,16.67,100.0,1.97,5.0,45.98,80.0,15.2
2024-01,Eastern,Staples Store Ottawa #32,Richmond Hill FC,100.0,0.0,0.0,0.23,5.5,16.78,0.0,131.0
2024-01,Eastern,Staples Store Ottawa #32,Calgary FC,100.0,0.0,100.0,4.86,5.6,33.69,80.0,6.2
2024-01,Eastern,Staples Store Ottawa #32,Montreal FC,82.13,22.22,85.71,3.33,5.43,22.24,71.43,9.0
2024-01,Eastern,Staples Store Ottawa #33,Toronto FC,100.0,0.0,100.0,0.9,5.2,42.33,80.0,33.2
2024-01,Eastern,Staples Store Ottawa #33,Mississauga FC,96.46,9.09,81.82,8.85,5.18,24.33,81.82,3.4
2024-01,Eastern,Staples Store Ottawa #33,Richmond Hill FC,87.81,16.67,100.0,0.11,6.0,23.19,100.0,262.0
2024-01,Eastern,Staples Store Ottawa #33,Calgary FC,100.0,0.0,75.0,3.49,5.5,23.77,75.0,8.6
2024-01,Eastern,Staples Store Ottawa #33,Montreal FC,100.0,0.0,100.0,0.08,8.0,38.27,50.0,366.2
2024-01,Eastern,Staples Store Ottawa #34,Toronto FC,100.0,0.0,33.33,1.49,6.0,37.34,33.33,20.2
2024-01,Eastern,Staples Store Ottawa #34,Mississauga FC,81.67,20.0,75.0,2.94,4.75,43.23,75.0,10.2
2024-01,Eastern,Staples Store Ottawa #34,Richmond Hill FC,81.5,33.33,100.0,4.54,5.0,39.5,100.0,6.6
2024-01,Eastern,Staples Store Ottawa #34,Calgary FC,95.07,11.11,85.71,6.99,5.57,21.67,85.71,4.3
2024-01,Eastern,Staples Store Ottawa #34,Montreal FC,100.0,0.0,66.67,0.8,5.0,16.77,66.67,37.4
2024-01,Eastern,Staples Store Ottawa #35,Toronto FC,73.7,50.0,100.0,1.35,5.5,21.98,100.0,22.2
2024-01,Eastern,Staples Store Ottawa #35,Mississauga FC,96.17,50.0,100.0,1.14,6.5,8.66,50.0,26.3
2024-01,Eastern,Staples Store Ottawa #35,Richmond Hill FC,89.88,18.18,75.0,7.49,4.38,17.87,75.0,4.0
2024-01,Eastern,Staples Store Ottawa #35,Calgary FC,99.29,33.33,66.67,3.15,4.33,35.61,33.33,9.5
2024-01,Eastern,Staples Store Ottawa #35,Montreal FC,100.0,0.0,71.43,4.29,4.71,24.17,71.43,7.0
2024-01,Eastern,Staples Store Toronto #10,Toronto FC,79.04,27.27,100.0,3.07,5.0,16.97,85.71,9.8
2024-01,Eastern,Staples Store Toronto #10,Mississauga FC,100.0,0.0,100.0,2.04,4.25,27.79,100.0,14.7
2024-01,Eastern,Staples Store Toronto #10,Richmond Hill FC,90.0,20.0,100.0,1.95,4.5,14.86,75.0,15.4
2024-01,Eastern,Staples Store Toronto #10,Calgary FC,76.25,25.0,100.0,2.89,6.0,26.64,100.0,10.4
2024-01,Eastern,Staples Store Toronto #10,Montreal FC,95.67,12.5,100.0,3.75,5.4,28.71,100.0,8.0
2024-01,Eastern,Staples Store Toronto #11,Toronto FC,87.02,33.33,100.0,1.46,4.0,45.54,50.0,20.5
2024-01,Eastern,Staples Store Toronto #11,Mississauga FC,85.67,22.22,75.0,5.77,4.75,20.32,62.5,5.2
2024-01,Eastern,Staples Store Toronto #11,Richmond Hill FC,85.81,14.29,83.33,3.12,5.0,31.07,83.33,9.6
2024-01,Eastern,Staples Store Toronto #11,Calgary FC,100.0,0.0,66.67,1.29,5.67,31.07,66.67,23.2
2024-01,Eastern,Staples Store Toronto #11,Montreal FC,68.17,42.86,100.0,2.12,5.0,8.18,100.0,14.1
2024-01,Eastern,Staples Store Toronto #12,Toronto FC,100.0,0.0,100.0,1.26,5.25,29.8,100.0,23.8
2024-01,Eastern,Staples Store Toronto #12,Mississauga FC,56.96,75.0,75.0,1.48,4.75,23.47,75.0,20.2
2024-01,Eastern,Staples Store Toronto #12,Richmond Hill FC,87.22,14.29,100.0,5.16,5.14,28.85,100.0,5.8
2024-01,Eastern,Staples Store Toronto #12,Calgary FC,90.29,33.33,100.0,3.56,5.6,19.13,80.0,8.4
2024-01,Eastern,Staples Store Toronto #12,Montreal FC,86.48,25.0,100.0,0.23,4.4,36.49,100.0,133.2
2024-01,Eastern,Staples Store Toronto #13,Toronto FC,82.29,30.0,85.71,3.0,5.86,36.06,57.14,10.0
2024-01,Eastern,Staples Store Toronto #13,Mississauga FC,93.67,14.29,71.43,1.81,5.0,29.09,57.14,16.6
2024-01,Eastern,Staples Store Toronto #13,Richmond Hill FC,100.0,0.0,75.0,3.77,5.5,24.0,50.0,7.9
2024-01,Eastern,Staples Store Toronto #13,Calgary FC,93.98,10.0,100.0,3.77,4.44,29.45,77.78,8.0
2024-01,Eastern,Staples Store Toronto #13,Montreal FC,71.34,50.0,100.0,0.36,6.0,34.1,100.0,82.3
2024-01,Eastern,Staples Store Toronto #14,Toronto FC,93.88,14.29,83.33,4.45,4.33,32.78,50.0,6.7
2024-01,Eastern,Staples Store Toronto #14,Mississauga FC,100.0,0.0,50.0,0.27,7.0,34.9,50.0,112.7
2024-01,Eastern,Staples Store Toronto #14,Richmond Hill FC,100.0,0.0,100.0,5.35,4.8,17.77,80.0,5.6
2024-01,Eastern,Staples Store Toronto #14,Calgary FC,80.95,33.33,100.0,1.6,5.0,12.83,100.0,18.7
2024-01,Eastern,Staples Store Toronto #14,Montreal FC,85.19,16.67,100.0,1.04,4.83,29.65,100.0,28.9
2024-01,Eastern,Staples Store Toronto #15,Toronto FC,77.5,30.0,71.43,1.29,4.57,25.26,57.14,23.2
2024-01,Eastern,Staples Store Toronto #15,Mississauga FC,100.0,0.0,33.33,0.44,6.0,24.34,33.33,67.8
2024-01,Eastern,Staples Store Toronto #15,Richmond Hill FC,100.0,0.0,66.67,0.85,6.33,34.74,66.67,35.4
2024-01,Eastern,Staples Store Toronto #15,Calgary FC,71.79,33.33,100.0,1.91,5.0,43.02,100.0,15.7
2024-01,Eastern,Staples Store Toronto #15,Montreal FC,87.07,18.18,100.0,5.5,5.22,20.34,100.0,5.5
2024-01,Eastern,Staples Store Toronto #16,Toronto FC,100.0,0.0,87.5,4.5,5.38,30.12,75.0,6.7
2024-01,Eastern,Staples Store Toronto #16,Mississauga FC,100.0,0.0,100.0,0.18,5.5,31.7,100.0,170.4
2024-01,Eastern,Staples Store Toronto #16,Richmond Hill FC,95.09,16.67,100.0,3.41,5.0,29.0,100.0,8.8
2024-01,Eastern,Staples Store Toronto #16,Calgary FC,95.0,20.0,100.0,2.56,5.0,16.22,100.0,11.7
2024-01,Eastern,Staples Store Toronto #16,Montreal FC,76.39,25.0,100.0,0.83,3.75,10.69,75.0,36.3
2024-01,Eastern,Staples Store Toronto #17,Toronto FC,84.22,20.0,80.0,3.24,4.6,26.15,60.0,9.3
2024-01,Eastern,Staples Store Toronto #17,Mississauga FC,100.0,0.0,75.0,1.84,5.25,36.02,75.0,16.3
2024-01,Eastern,Staples Store Toronto #17,Richmond Hill FC,81.83,42.86,85.71,4.46,3.57,17.81,85.71,6.7
2024-01,Eastern,Staples Store Toronto #17,Calgary FC,100.0,0.0,100.0,1.87,6.5,45.02,100.0,16.1
2024-01,Eastern,Staples Store Toronto #17,Montreal FC,70.73,33.33,66.67,1.54,4.67,32.57,66.67,19.5
2024-01,Eastern,Staples Store Toronto #18,Toronto FC,82.87,20.0,66.67,1.89,2.67,15.19,66.67,15.9
2024-01,Eastern,Staples Store Toronto #18,Mississauga FC,91.67,12.5,100.0,1.88,5.2,39.6,100.0,16.0
2024-01,Eastern,Staples Store Toronto #18,Richmond Hill FC,95.89,16.67,50.0,3.59,4.75,24.43,50.0,8.4
2024-01,Eastern,Staples Store Toronto #18,Calgary FC,95.1,11.11,66.67,2.82,4.17,19.35,50.0,10.6
2024-01,Eastern,Staples Store Toronto #18,Montreal FC,88.66,75.0,100.0,1.51,5.0,25.37,100.0,19.8
2024-01,Eastern,Staples Store Toronto #19,Toronto FC,85.65,16.67,80.0,2.94,3.8,22.34,60.0,10.2
2024-01,Eastern,Staples Store Toronto #19,Mississauga FC,83.7,25.0,57.14,2.31,5.43,21.94,57.14,13.0
2024-01,Eastern,Staples Store Toronto #19,Richmond Hill FC,94.53,16.67,100.0,2.89,5.0,35.57,83.33,10.4
2024-01,Eastern,Staples Store Toronto #19,Calgary FC,79.56,27.27,85.71,3.03,4.71,21.08,71.43,9.9
2024-01,Eastern,Staples Store Toronto #19,Montreal FC,55.63,50.0,50.0,0.42,5.5,28.79,50.0,71.8
2024-01,Eastern,Staples Store Toronto #20,Toronto FC,80.95,33.33,66.67,0.33,3.0,24.33,66.67,90.8
2024-01,Eastern,Staples Store Toronto #20,Mississauga FC,100.0,0.0,100.0,2.66,4.75,26.3,75.0,11.3
2024-01,Eastern,Staples Store Toronto #20,Richmond Hill FC,82.86,42.86,83.33,8.52,4.83,19.09,66.67,3.5
2024-01,Eastern,Staples Store Toronto #20,Calgary FC,100.0,0.0,100.0,0.92,5.5,32.37,100.0,32.5
2024-01,Eastern,Staples Store Toronto #20,Montreal FC,98.22,20.0,100.0,4.69,5.5,25.49,100.0,6.4
2024-01,Eastern,Staples Store Toronto #6,Toronto FC,95.8,37.5,85.71,4.38,4.86,14.76,57.14,6.8
2024-01,Eastern,Staples Store Toronto #6,Mississauga FC,82.73,20.0,100.0,3.19,5.33,19.2,66.67,9.4
2024-01,Eastern,Staples Store Toronto #6,Richmond Hill FC,97.33,33.33,83.33,5.02,3.83,17.21,83.33,6.0
2024-01,Eastern,Staples Store Toronto #6,Calgary FC,100.0,0.0,,,,,,
2024-01,Eastern,Staples Store Toronto #6,Montreal FC,100.0,0.0,100.0,2.9,4.67,36.37,100.0,10.3
2024-01,Eastern,Staples Store Toronto #7,Toronto FC,73.33,30.0,71.43,5.24,4.57,26.36,42.86,5.7
2024-01,Eastern,Staples Store Toronto #7,Mississauga FC,89.58,18.18,88.89,7.15,5.0,16.34,77.78,4.2
2024-01,Eastern,Staples Store Toronto #7,Richmond Hill FC,100.0,0.0,50.0,2.57,4.5,27.11,50.0,11.7
2024-01,Eastern,Staples Store Toronto #7,Calgary FC,100.0,0.0,100.0,3.32,5.33,33.04,100.0,9.0
2024-01,Eastern,Staples Store Toronto #7,Montreal FC,100.0,0.0,100.0,3.34,4.25,28.22,50.0,9.0
2024-01,Eastern,Staples Store Toronto #8,Toronto FC,88.45,33.33,75.0,4.82,4.75,17.86,75.0,6.2
2024-01,Eastern,Staples Store Toronto #8,Mississauga FC,100.0,0.0,100.0,1.31,6.0,27.18,100.0,22.9
2024-01,Eastern,Staples Store Toronto #8,Richmond Hill FC,91.96,14.29,66.67,3.97,4.83,24.73,50.0,7.6
2024-01,Eastern,Staples Store Toronto #8,Calgary FC,100.0,0.0,100.0,1.25,3.5,14.14,100.0,23.9
2024-01,Eastern,Staples Store Toronto #8,Montreal FC,87.37,20.0,100.0,2.13,5.0,12.8,66.67,14.1
2024-01,Eastern,Staples Store Toronto #9,Toronto FC,100.0,0.0,100.0,3.14,6.0,29.29,100.0,9.6
2024-01,Eastern,Staples Store Toronto #9,Mississauga FC,100.0,0.0,100.0,0.24,7.67,15.36,100.0,126.3
2024-01,Eastern,Staples Store Toronto #9,Richmond Hill FC,100.0,0.0,100.0,2.08,4.33,16.21,66.67,14.4
2024-01,Eastern,Staples Store Toronto #9,Calgary FC,100.0,0.0,100.0,4.72,5.75,17.44,87.5,6.4
2024-01,Eastern,Staples Store Toronto #9,Montreal FC,83.33,16.67,75.0,4.46,5.5,39.09,75.0,6.7
2024-01,Western,Staples Store Calgary #46,Toronto FC,100.0,0.0,100.0,3.04,6.0,20.39,100.0,9.9
2024-01,Western,Staples Store Calgary #46,Mississauga FC,93.19,28.57,100.0,3.99,4.57,28.96,85.71,7.5
2024-01,Western,Staples Store Calgary #46,Richmond Hill FC,99.38,20.0,100.0,3.07,4.5,34.07,100.0,9.8
2024-01,Western,Staples Store Calgary #46,Calgary FC,91.88,11.11,85.71,0.54,4.86,28.09,85.71,55.3
2024-01,Western,Staples Store Calgary #46,Montreal FC,90.83,16.67,100.0,0.53,6.25,36.44,100.0,56.3
2024-01,Western,Staples Store Calgary #47,Toronto FC,100.0,0.0,80.0,4.05,4.2,31.06,40.0,7.4
2024-01,Western,Staples Store Calgary #47,Mississauga FC,87.5,12.5,80.0,3.92,5.4,41.6,60.0,7.7
2024-01,Western,Staples Store Calgary #47,Richmond Hill FC,76.53,25.0,100.0,3.43,6.33,17.88,66.67,8.8
2024-01,Western,Staples Store Calgary #47,Calgary FC,58.96,50.0,100.0,2.68,5.0,25.78,75.0,11.2
2024-01,Western,Staples Store Calgary #47,Montreal FC,78.57,33.33,83.33,1.51,6.17,17.86,66.67,19.8
2024-01,Western,Staples Store Calgary #48,Toronto FC,100.0,0.0,60.0,2.08,5.8,29.18,60.0,14.4
2024-01,Western,Staples Store Calgary #48,Mississauga FC,100.0,0.0,83.33,3.85,4.0,31.22,83.33,7.8
2024-01,Western,Staples Store Calgary #48,Richmond Hill FC,100.0,0.0,100.0,1.35,5.5,42.38,100.0,22.2
2024-01,Western,Staples Store Calgary #48,Calgary FC,88.64,33.33,100.0,3.56,4.8,29.11,60.0,8.4
2024-01,Western,Staples Store Calgary #48,Montreal FC,88.85,37.5,100.0,1.71,5.0,43.98,100.0,17.5
2024-01,Western,Staples Store Calgary #49,Toronto FC,100.0,0.0,100.0,0.22,6.5,20.05,100.0,136.3
2024-01,Western,Staples Store Calgary #49,Mississauga FC,100.0,0.0,66.67,3.5,6.33,26.73,66.67,8.6
2024-01,Western,Staples Store Calgary #49,Richmond Hill FC,100.0,0.0,83.33,1.54,4.83,20.55,66.67,19.5
2024-01,Western,Staples Store Calgary #49,Calgary FC,90.32,40.0,75.0,1.53,5.0,5.58,75.0,19.6
2024-01,Western,Staples Store Calgary #49,Montreal FC,87.76,14.29,83.33,3.3,4.5,33.09,66.67,9.1
2024-01,Western,Staples Store Calgary #50,Toronto FC,97.62,11.11,87.5,5.2,5.0,7.23,75.0,5.8
2024-01,Western,Staples Store Calgary #50,Mississauga FC,92.35,20.0,100.0,1.97,4.33,20.65,100.0,15.2
2024-01,Western,Staples Store Calgary #50,Richmond Hill FC,100.0,0.0,66.67,1.93,3.33,23.22,66.67,15.5
2024-01,Western,Staples Store Calgary #50,Calgary FC,89.58,12.5,83.33,4.24,4.5,29.81,83.33,7.1
2024-01,Western,Staples Store Calgary #50,Montreal FC,100.0,0.0,60.0,4.39,5.0,17.91,60.0,6.8
2024-01,Western,Staples Store Vancouver #36,Toronto FC,85.71,14.29,100.0,2.74,4.25,11.04,100.0,10.9
2024-01,Western,Staples Store Vancouver #36,Mississauga FC,88.47,16.67,75.0,1.04,5.5,18.48,75.0,29.0
2024-01,Western,Staples Store Vancouver #36,Richmond Hill FC,100.0,0.0,100.0,0.9,7.0,12.54,100.0,33.4
2024-01,Western,Staples Store Vancouver #36,Calgary FC,100.0,0.0,75.0,0.82,4.25,38.5,50.0,36.7
2024-01,Western,Staples Store Vancouver #36,Montreal FC,94.79,25.0,100.0,2.14,5.0,33.55,100.0,14.0
2024-01,Western,Staples Store Vancouver #37,Toronto FC,100.0,0.0,100.0,2.8,4.8,16.49,100.0,10.7
2024-01,Western,Staples Store Vancouver #37,Mississauga FC,74.96,33.33,100.0,5.85,5.13,35.47,87.5,5.1
2024-01,Western,Staples Store Vancouver #37,Richmond Hill FC,96.0,20.0,100.0,2.44,5.0,6.68,100.0,12.3
2024-01,Western,Staples Store Vancouver #37,Calgary FC,83.08,33.33,100.0,1.39,4.67,28.41,66.67,21.6
2024-01,Western,Staples Store Vancouver #37,Montreal FC,88.27,28.57,100.0,3.04,5.0,9.67,100.0,9.9
2024-01,Western,Staples Store Vancouver #38,Toronto FC,85.56,28.57,100.0,3.23,5.4,37.57,100.0,9.3
2024-01,Western,Staples Store Vancouver #38,Mississauga FC,75.0,25.0,100.0,0.05,8.0,36.21,100.0,666.1
2024-01,Western,Staples Store Vancouver #38,Richmond Hill FC,93.75,12.5,66.67,4.13,5.83,28.53,66.67,7.3
2024-01,Western,Staples Store Vancouver #38,Calgary FC,97.8,14.29,100.0,1.69,5.5,32.81,100.0,17.7
2024-01,Western,Staples Store Vancouver #38,Montreal FC,66.67,33.33,100.0,0.89,3.0,35.57,100.0,33.6
2024-01,Western,Staples Store Vancouver #39,Toronto FC,92.98,33.33,100.0,0.98,5.5,27.67,50.0,30.5
2024-01,Western,Staples Store Vancouver #39,Mississauga FC,87.32,20.0,80.0,3.99,5.4,23.37,80.0,7.5
2024-01,Western,Staples Store Vancouver #39,Richmond Hill FC,67.37,50.0,50.0,0.67,5.0,21.62,50.0,45.0
2024-01,Western,Staples Store Vancouver #39,Calgary FC,87.99,30.0,88.89,2.69,5.22,25.03,66.67,11.1
2024-01,Western,Staples Store Vancouver #39,Montreal FC,31.0,100.0,50.0,0.21,6.0,30.73,50.0,140.8
2024-01,Western,Staples Store Vancouver #40,Toronto FC,62.26,50.0,80.0,3.05,4.4,10.83,80.0,9.8
2024-01,Western,Staples Store Vancouver #40,Mississauga FC,100.0,0.0,100.0,4.63,4.5,32.85,100.0,6.5
2024-01,Western,Staples Store Vancouver #40,Richmond Hill FC,94.44,11.11,75.0,7.5,5.5,36.76,75.0,4.0
